file_name,class,width,height,aspect_ratio,file_size_kb,mean_intensity,std_intensity,skewness,kurtosis,entropy,edge_density
s1_1.tif,Canon120-1,1240,1752,0.708,6366.8,247.958,32.056,-4.814,22.196,0.753,0.03
s1_17.tif,Canon120-1,2480,3508,0.707,25495.07,253.113,16.757,-10.134,104.383,0.466,0.006
s1_29.tif,Canon120-1,2480,3508,0.707,25495.07,253.058,14.462,-9.836,104.424,0.675,0.006
s1_48.tif,Canon120-1,2480,3508,0.707,25495.07,251.352,18.418,-7.492,61.858,1.247,0.022
s1_49.tif,Canon120-1,2480,3508,0.707,25495.07,252.172,20.717,-8.207,67.879,0.552,0.009
s1_50.tif,Canon120-1,2480,3508,0.707,25495.07,250.471,25.385,-6.438,41.982,0.837,0.011
s2_93.tif,Canon120-2,2480,3508,0.707,25495.07,250.131,27.353,-6.207,37.917,0.846,0.015
s2_94.tif,Canon120-2,2480,3508,0.707,25495.07,250.607,26.489,-6.628,43.271,0.784,0.011
s2_95.tif,Canon120-2,2480,3508,0.707,25495.07,251.533,23.097,-7.331,53.706,0.571,0.012
s3_95.tif,Canon220,2480,3508,0.707,25495.07,251.424,22.692,-7.257,52.715,0.798,0.012
s3_97.tif,Canon220,2480,3508,0.707,25495.07,250.01,25.946,-6.112,37.594,0.973,0.014
s3_98.tif,Canon220,2480,3508,0.707,25495.07,244.804,37.144,-3.937,14.388,1.361,0.044
s3_99.tif,Canon220,2480,3508,0.707,25495.07,250.11,25.748,-6.494,42.112,1.246,0.011
s4_73.tif,Canon9000-1,2480,3508,0.707,25495.07,247.003,33.737,-4.591,20.195,0.941,0.023
s4_74.tif,Canon9000-1,2480,3508,0.707,25495.07,251.817,19.773,-7.453,58.288,0.548,0.014
s5_72.tif,Canon9000-2,1240,1754,0.707,6374.08,249.364,27.563,-5.409,29.212,0.615,0.035
s5_73.tif,Canon9000-2,1240,1754,0.707,6374.08,247.416,31.619,-4.635,20.997,0.913,0.039
s5_77.tif,Canon9000-2,1240,1754,0.707,6374.08,248.693,24.221,-5.325,30.391,1.104,0.033
s5_79.tif,Canon9000-2,1240,1754,0.707,6374.08,250.896,22.267,-6.394,42.478,0.678,0.033
s5_94.tif,Canon9000-2,1240,1754,0.707,6374.08,251.918,20.062,-7.417,56.759,0.445,0.021
s6_19.tif,EpsonV370-1,1236,1754,0.705,6353.53,249.659,23.771,-5.997,36.871,1.633,0.026
s6_22.tif,EpsonV370-1,1236,1754,0.705,6353.53,252.114,14.959,-9.443,96.356,1.549,0.012
s6_24.tif,EpsonV370-1,1236,1754,0.705,6353.53,251.022,18.46,-6.763,48.434,1.492,0.026
s6_58.tif,EpsonV370-1,1236,1754,0.705,6353.53,250.266,19.933,-6.197,40.642,1.697,0.027
s6_63.tif,EpsonV370-1,1236,1754,0.705,6353.53,244.854,29.621,-4.509,20.253,2.657,0.033
