,precision,recall,f1-score,support
Canon120-1,0.9438775510204082,0.925,0.9343434343434344,200.0
Canon120-2,0.9261083743842364,0.94,0.9330024813895782,200.0
Canon220,0.9748743718592965,0.97,0.9724310776942355,200.0
Canon9000-1,0.9514563106796117,0.98,0.9655172413793104,200.0
Canon9000-2,0.9639175257731959,0.935,0.949238578680203,200.0
EpsonV370-1,0.9603960396039604,0.97,0.9651741293532339,200.0
EpsonV370-2,0.9845360824742269,0.955,0.9695431472081218,200.0
EpsonV39-1,0.935,0.935,0.935,200.0
EpsonV39-2,0.9246231155778895,0.92,0.9223057644110275,200.0
EpsonV550,0.970873786407767,1.0,0.9852216748768473,200.0
HP,0.9900497512437811,0.995,0.9925187032418953,200.0
accuracy,0.9568181818181818,0.9568181818181818,0.9568181818181818,0.9568181818181818
macro avg,0.9568829917294884,0.9568181818181817,0.9567542029616259,2200.0
weighted avg,0.9568829917294885,0.9568181818181818,0.9567542029616262,2200.0
