,precision,recall,f1-score,support
Canon120-1,0.75,0.7590361445783133,0.7544910179640718,83.0
Canon120-2,0.7283950617283951,0.7108433734939759,0.7195121951219512,83.0
Canon220,0.9487179487179487,0.891566265060241,0.9192546583850931,83.0
Canon9000-1,0.8426966292134831,0.9036144578313253,0.872093023255814,83.0
Canon9000-2,0.8933333333333333,0.8170731707317073,0.8535031847133758,82.0
EpsonV370-1,0.9058823529411765,0.927710843373494,0.9166666666666666,83.0
EpsonV370-2,0.925,0.8809523809523809,0.9024390243902439,84.0
EpsonV39-1,0.8360655737704918,0.6144578313253012,0.7083333333333334,83.0
EpsonV39-2,0.6517857142857143,0.8690476190476191,0.7448979591836735,84.0
EpsonV550,0.9651162790697675,1.0,0.9822485207100592,83.0
HP,1.0,1.0,1.0,83.0
accuracy,0.8522975929978118,0.8522975929978118,0.8522975929978118,0.8522975929978118
macro avg,0.8588175357327554,0.8522092805813053,0.8521308712476621,914.0
weighted avg,0.8586256701367156,0.8522975929978118,0.8520670888927527,914.0
